Transformers version: 4.29.2
Accelerate version: 0.19.0
PEFT version: 0.3.0
dict_keys(['train', 'validation'])
trainable params: 85876325 || all params: 85876325 || trainable%: 100.00
trainable params: 745162 || all params: 86543818 || trainable%: 0.86
{'loss': 4.4227, 'learning_rate': 0.0009999954941610767, 'epoch': 0.07}
{'loss': 3.9344, 'learning_rate': 0.0009999819767255174, 'epoch': 0.14}
{'loss': 3.3479, 'learning_rate': 0.0009999594479369513, 'epoch': 0.2}
{'loss': 2.7767, 'learning_rate': 0.0009999279082014232, 'epoch': 0.27}
{'loss': 2.2877, 'learning_rate': 0.0009998873580873847, 'epoch': 0.34}
{'loss': 1.8617, 'learning_rate': 0.000999837798325685, 'epoch': 0.41}
{'loss': 1.6205, 'learning_rate': 0.0009997792298095571, 'epoch': 0.47}
{'loss': 1.4305, 'learning_rate': 0.0009997116535946026, 'epoch': 0.54}
{'loss': 1.2834, 'learning_rate': 0.0009996350708987715, 'epoch': 0.61}
{'loss': 1.2224, 'learning_rate': 0.0009995494831023409, 'epoch': 0.68}
{'loss': 1.1264, 'learning_rate': 0.0009994548917478898, 'epoch': 0.74}
{'loss': 1.1177, 'learning_rate': 0.0009993512985402725, 'epoch': 0.81}
{'loss': 1.102, 'learning_rate': 0.0009992387053465858, 'epoch': 0.88}
{'loss': 1.0218, 'learning_rate': 0.0009991171141961368, 'epoch': 0.95}
{'eval_loss': 0.6543394923210144, 'eval_accuracy': 0.8452277227722772, 'eval_runtime': 173.4008, 'eval_samples_per_second': 145.616, 'eval_steps_per_second': 1.142, 'epoch': 1.0}
{'loss': 0.9345, 'learning_rate': 0.0009989865272804063, 'epoch': 1.01}
{'loss': 0.9789, 'learning_rate': 0.0009988469469530087, 'epoch': 1.08}
{'loss': 0.9309, 'learning_rate': 0.0009986983757296498, 'epoch': 1.15}
{'loss': 0.8974, 'learning_rate': 0.0009985408162880814, 'epoch': 1.22}
{'loss': 0.8815, 'learning_rate': 0.0009983742714680538, 'epoch': 1.28}
{'loss': 0.894, 'learning_rate': 0.0009981987442712632, 'epoch': 1.35}
{'loss': 0.8643, 'learning_rate': 0.000998014237861299, 'epoch': 1.42}
{'loss': 0.896, 'learning_rate': 0.0009978207555635856, 'epoch': 1.49}
{'loss': 0.8423, 'learning_rate': 0.0009976183008653231, 'epoch': 1.55}
{'loss': 0.8418, 'learning_rate': 0.0009974068774154252, 'epoch': 1.62}
{'loss': 0.8107, 'learning_rate': 0.0009971864890244513, 'epoch': 1.69}
{'loss': 0.805, 'learning_rate': 0.0009969571396645398, 'epoch': 1.76}
{'loss': 0.8366, 'learning_rate': 0.0009967188334693363, 'epoch': 1.82}
{'loss': 0.8157, 'learning_rate': 0.0009964715747339177, 'epoch': 1.89}
{'loss': 0.7967, 'learning_rate': 0.0009962153679147162, 'epoch': 1.96}
{'eval_loss': 0.47977444529533386, 'eval_accuracy': 0.8724356435643564, 'eval_runtime': 179.9313, 'eval_samples_per_second': 140.331, 'eval_steps_per_second': 1.1, 'epoch': 2.0}
{'loss': 0.7835, 'learning_rate': 0.0009959502176294383, 'epoch': 2.03}
{'loss': 0.77, 'learning_rate': 0.0009956761286569824, 'epoch': 2.09}
{'loss': 0.7345, 'learning_rate': 0.0009953931059373511, 'epoch': 2.16}
{'loss': 0.8049, 'learning_rate': 0.0009951011545715636, 'epoch': 2.23}
{'loss': 0.7776, 'learning_rate': 0.0009948002798215632, 'epoch': 2.3}
{'loss': 0.7418, 'learning_rate': 0.0009944904871101226, 'epoch': 2.36}
{'loss': 0.7426, 'learning_rate': 0.0009941717820207462, 'epoch': 2.43}
{'loss': 0.7362, 'learning_rate': 0.0009938441702975688, 'epoch': 2.5}
{'loss': 0.7634, 'learning_rate': 0.0009935076578452533, 'epoch': 2.57}
{'loss': 0.7486, 'learning_rate': 0.0009931622507288835, 'epoch': 2.64}
{'loss': 0.7517, 'learning_rate': 0.0009928079551738544, 'epoch': 2.7}
{'loss': 0.746, 'learning_rate': 0.0009924447775657606, 'epoch': 2.77}
{'loss': 0.7451, 'learning_rate': 0.0009920727244502818, 'epoch': 2.84}
{'loss': 0.7269, 'learning_rate': 0.0009916918025330635, 'epoch': 2.91}
{'loss': 0.7223, 'learning_rate': 0.0009913020186795966, 'epoch': 2.97}
{'eval_loss': 0.42866405844688416, 'eval_accuracy': 0.8838415841584158, 'eval_runtime': 186.2936, 'eval_samples_per_second': 135.539, 'eval_steps_per_second': 1.063, 'epoch': 3.0}
{'loss': 0.7044, 'learning_rate': 0.0009909033799150946, 'epoch': 3.04}
{'loss': 0.6708, 'learning_rate': 0.0009904958934243654, 'epoch': 3.11}
{'loss': 0.7025, 'learning_rate': 0.000990079566551683, 'epoch': 3.18}
{'loss': 0.7097, 'learning_rate': 0.000989654406800655, 'epoch': 3.24}
